epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,17885.2,1.05049,0.65255,0.92316,0.75521,0.64957,0.68135,0.454,1.37062,3.80165,1.06859,0.0026245,0.0026245,0.0026245
151,18003,1.04721,0.64945,0.9213,0.75486,0.64816,0.6813,0.45414,1.37036,3.79604,1.0686,0.002575,0.002575,0.002575
152,18120.1,1.04711,0.65002,0.92298,0.75444,0.64878,0.68161,0.45421,1.37023,3.78768,1.06841,0.0025255,0.0025255,0.0025255
153,18236.7,1.05553,0.65087,0.92471,0.75488,0.64798,0.68159,0.45437,1.37029,3.7834,1.06846,0.002476,0.002476,0.002476
154,18354.3,1.05097,0.6496,0.92349,0.75335,0.64851,0.68169,0.45431,1.37017,3.78164,1.06812,0.0024265,0.0024265,0.0024265
155,18469.4,1.0494,0.64618,0.92205,0.75397,0.64898,0.68145,0.45434,1.36965,3.7801,1.0679,0.002377,0.002377,0.002377
156,18585.9,1.04398,0.64749,0.92232,0.75496,0.64814,0.68134,0.45423,1.3703,3.77262,1.06802,0.0023275,0.0023275,0.0023275
157,18701.7,1.04188,0.64148,0.92023,0.75562,0.64846,0.68148,0.4545,1.36991,3.76486,1.06803,0.002278,0.002278,0.002278
158,18818.9,1.04698,0.6455,0.92002,0.75614,0.64742,0.68144,0.4547,1.3699,3.76389,1.06774,0.0022285,0.0022285,0.0022285
159,18936.3,1.03387,0.63915,0.91891,0.75587,0.64695,0.68129,0.45493,1.36975,3.75949,1.06754,0.002179,0.002179,0.002179
160,19054.3,1.03866,0.64113,0.91888,0.7579,0.6455,0.68129,0.45506,1.36966,3.75315,1.06721,0.0021295,0.0021295,0.0021295
161,19172.9,1.03513,0.63771,0.91979,0.75534,0.64683,0.68143,0.4552,1.3692,3.75051,1.06695,0.00208,0.00208,0.00208
162,19289.8,1.03559,0.63442,0.9178,0.75187,0.64857,0.68142,0.45526,1.36946,3.73993,1.06684,0.0020305,0.0020305,0.0020305
163,19406.2,1.03319,0.63795,0.9187,0.75074,0.64843,0.68131,0.45521,1.36925,3.72759,1.06658,0.001981,0.001981,0.001981
164,19522.5,1.03271,0.6333,0.91573,0.75253,0.64689,0.681,0.4555,1.36931,3.72549,1.06669,0.0019315,0.0019315,0.0019315
165,19637.4,1.03566,0.63739,0.91861,0.75296,0.64726,0.68118,0.45547,1.36984,3.71785,1.06666,0.001882,0.001882,0.001882
166,19751.9,1.0406,0.64033,0.91957,0.75346,0.64785,0.68129,0.45571,1.36911,3.7102,1.06653,0.0018325,0.0018325,0.0018325
167,19865.9,1.02382,0.62933,0.91711,0.75595,0.64689,0.68118,0.45558,1.36941,3.70588,1.06649,0.001783,0.001783,0.001783
168,19983.9,1.02178,0.62421,0.91518,0.75696,0.64598,0.68126,0.45543,1.36966,3.70034,1.06656,0.0017335,0.0017335,0.0017335
169,20100.7,1.02852,0.63106,0.91663,0.75725,0.64576,0.68138,0.45544,1.36948,3.69606,1.06635,0.001684,0.001684,0.001684
170,20216,1.02639,0.62728,0.91598,0.75701,0.64555,0.68114,0.45535,1.36934,3.6902,1.06618,0.0016345,0.0016345,0.0016345
171,20331.8,1.02427,0.62523,0.91559,0.75518,0.64872,0.68122,0.45535,1.37002,3.68589,1.06627,0.001585,0.001585,0.001585
172,20447.9,1.01839,0.62199,0.91435,0.75739,0.64731,0.68097,0.45517,1.37054,3.67873,1.06629,0.0015355,0.0015355,0.0015355
173,20562.6,1.01352,0.61799,0.91284,0.75787,0.64853,0.68169,0.4556,1.37096,3.6754,1.06631,0.001486,0.001486,0.001486
174,20677,1.01994,0.61917,0.91284,0.75938,0.64792,0.68173,0.4555,1.37086,3.67397,1.06602,0.0014365,0.0014365,0.0014365
175,20791.3,1.01216,0.61399,0.91196,0.75753,0.64774,0.68173,0.45558,1.37089,3.67008,1.06586,0.001387,0.001387,0.001387
176,20910.1,1.01903,0.62055,0.91218,0.75865,0.64705,0.68146,0.4556,1.37097,3.66796,1.06577,0.0013375,0.0013375,0.0013375
177,21023.9,1.01368,0.61484,0.91193,0.75999,0.64649,0.68167,0.45576,1.37091,3.66825,1.06559,0.001288,0.001288,0.001288
178,21138.2,1.01156,0.61569,0.91337,0.75788,0.64752,0.68163,0.4555,1.37135,3.6664,1.06576,0.0012385,0.0012385,0.0012385
179,21254.5,1.00847,0.61319,0.91312,0.75953,0.64778,0.68191,0.45566,1.37155,3.66176,1.06574,0.001189,0.001189,0.001189
180,21370.2,1.01387,0.61817,0.91287,0.75885,0.64775,0.68144,0.45564,1.37238,3.65812,1.06596,0.0011395,0.0011395,0.0011395
181,21487.4,1.00693,0.6091,0.91111,0.75909,0.64767,0.68138,0.45554,1.37221,3.65391,1.06576,0.00109,0.00109,0.00109
